Accomplished,Osiągnięty
Acquaintance,Znajomy
Ambitious,Ambitny
Analytical,Analityczny
Articulate,Elokwentny
Assertive,Asekuracyjny
Authentic,Autentyczny
Balanced,Zrównoważony
Charismatic,Charyzmatyczny
Cohesive,Spójny
Committed,Zaangażowany
Compassionate,Współczujący
Competent,Kompetentny
Confident,Pewny siebie
Conscientious,Sumienny
Consistent,Konsekwentny
Curious,Ciekawski
Decisive,Decydujący
Diligent,Pilny
Discerning,Wnikliwy
Empathetic,Empatyczny
Entrepreneurial,Przedsiębiorczy
Ethical,Etyczny
Flexible,Elastyczny
Gracious,Uprzejmy
Imaginative,Pomysłowy
Independent,Niezależny
Innovative,Innowacyjny
Insightful,Wnikliwy
Intuitive,Intuicyjny
Knowledgeable,Wiedzący
Leader,Lider
Loyal,Lojalny
Meticulous,Skrupulatny
Motivated,Motywowany
Nurturing,Opiekunczy
Objective,Obiektywny
Observant,Uważny
Organized,Zorganizowany
Passionate,Pełen pasji
Patient,Cierpliwy
Perceptive,Wnikliwy
Persuasive,Przekonujący
Practical,Praktyczny
Professional,Profesjonalny
Proactive,Aktywny
Progressive,Postępowy
Resilient,Odporny
Resourceful,Pomysłowy
Responsible,Odpowiedzialny
Respectful,Uczciwy
Self-motivated,Samomotywujący się
Skilled,Wyszkolony
Strategic,Strategiczny
Supportive,Wspierający
Sympathetic,Współczujący
Systematic,Systematyczny
Talented,Utalentowany
Tenacious,Wytrzymały
Thoughtful,Względny
Trustworthy,Godny zaufania
Visionary,Wizjoner
Adaptable,Dostosowujący się
Artful,Sprytny
Autonomous,Autonomiczny
Brilliant,Genialny
Collaborative,Współpracujący
Competent,Kompetentny
Conscientious,Sumienny
Critical,Krytyczny
Customer-oriented,Zorientowany na klienta
Prudent,Rozważny
Determined,Zdecydowany
Discreet,Dyskretny
Efficient,Wydajny
Experienced,Doświadczony
Genuine,Prawdziwy
Imaginative,Pomysłowy
Influential,Wpływowy
Multifaceted,Wieloaspektowy
Open-minded,Otwarty na nowe idee
Optimistic,Optymistyczny
Persistent,Wytrwały
Proactive,Aktywny
Reliable,Niezawodny
Resilient,Odporny
Self-assured,Pewny siebie
Sensible,Rozsądny
Sincere,Szczerze
Skillful,Wprawny
Supportive,Wspierający
Tactful,Taktowny
Thorough,Staranny
Transparent,Przejrzysty
Versatile,Uniwersalny
Well-organized,Dobrze zorganizowany
Wise,Mądry
Ambitious,Ambitny
Eloquent,Elokwentny
Goal-oriented,Skoncentrowany na celu